Name;IATA;ICAO;Callsign;Country
12 North;12;N12;12N;India
135 Airways;;GNL;GENERAL;United States
1Time Airline;1T;RNX;NEXTIME;South Africa
2 Sqn No 1 Elementary Flying Training School;;WYT;;United Kingdom
213 Flight Unit;;TFU;;Russia
223 Flight Unit State Airline;;CHD;CHKALOVSK-AVIA;Russia
224th Flight Unit;;TTF;CARGO UNIT;Russia
247 Jet Ltd;;TWF;CLOUD RUNNER;United Kingdom
3 Valleys Airlines;3V;VA3;3 Valleys;France
3D Aviation;;SEC;SECUREX;United States
40-Mile Air;Q5;MLA;MILE-AIR;United States
4D Air;;QRT;QUARTET;Thailand
611897 Alberta Limited;;THD;DONUT;Canada
84 Squadron Royal Air Force @ RAF Akrotiri;;AKG;GRIFTER;United Kingdom
A J Services;;AJA;AYJAY SERVICES;United Kingdom
A2 Jet Leasing;;AJJ;ATLANTIC JET;United States
Aéris (Priv);SH;\N;;France
AASANA;;XXV;;Bolivia
Aba Air;;ABP;BAIR;Czech Republic
Ababeel Aviation;;BBE;BABEL AIR;Sudan
Abacus International;1B;;;Singapore
Abaet;;ABJ;Abaet;Brazil
Abakan-Avia;;ABG;ABAKAN-AVIA;Russia
Aban Air;K5;ABE;ABAN;Iran
Abas;;MRP;ABAS;Czech Republic
ABC Aerolineas;;AIJ;ABC AEROLINEAS;Mexico
ABC Air Hungary;;AHU;ABC HUNGARY;Hungary
ABC Bedarsflug;;FTY;FLY TYROL;Austria
Abelag Aviation;W9;AAB;ABG;Belgium
Abicar;;ADJ;ABICAR;Ivory Coast
Aboitiz Air;;BOI;ABAIR;Philippines
ABSA - Aerolinhas Brasileiras;M3;TUS;ABSA Cargo;Brazil
Abu Dhabi Amiri Flight;MO;AUH;SULTAN;United Arab Emirates
ABX Air;GB;ABX;ABEX;United States
AC Challenge Aero;;CHG;SKY CHALLENGER;Ukraine
AC Insat-Aero;;IAE;;Russia
ACA-Ancargo Air Sociedade de Transporte de Carga Lda;;NCL;ANCARGO AIR;Angola
Academy Airlines;;ACD;ACADEMY;United States
Access Air;ZA;CYD;CYCLONE;United States
ACEF;;CFM;ACEF;Portugal
ACES Colombia;;AES;ACES;Colombia
ACM Air Charter;;BVR;BAVARIAN;Germany
ACM Aviation;;BJT;BAY JET;United States
ACT Havayollari;;RUN;CARGO TURK;Turkey
Action Air;;ORS;AVIATION SERVICE;Italy
Action Airlines (Action Air Charter);;AXQ;ACTION AIR;United States
Active Aero Charter;;AVR; Inc.;ACTIVE AERO
Acvila Air-Romanian Carrier;;RRM;AIR ROMANIA;Romania
AD Aviation;;VUE;FLIGHTVUE;United Kingdom
Ada Air;ZY;ADE;ADA AIR;Albania
Adam Air;KI;DHI;ADAM SKY;Indonesia
ADC Airlines;Z7;ADK;ADCO;Nigeria
Addis Air Cargo Services;;DSC;ADDIS CARGO;Ethiopia
Adler Aviation;;SWH;SHOCKWAVE;Canada
Adria Airways;JP;ADR;ADRIA;Slovenia
Advance Air Charters;;ADV;ADVANCE;Canada
Advance Aviation Services;;XTJ;;United States
Advance Leasing Company;4G;;;United States
Advanced Air Co.;;ADD;;Japan
Adygeya Airlines;;RDD;ADLINES;Russia
Aegean Airlines;A3;AEE;AEGEAN;Greece
Aer Arann;RE;REA;AER ARANN;Ireland
Aer Lingus;EI;EIN;SHAMROCK;Ireland
Aer Turas;;ATT;AERTURAS;Ireland
Aerea Flying Training Organization;;ADG;AEREA TRAINING;Spain
Aereo Taxi Paraza;;PZA;AEREO PARAZA;Mexico
Aereonautica militare;JY;AXZ;;Italy
Aereos Limited;;FST;FAST TRACK;United Kingdom
Aereotaxis;;TXI;AEREOTAXIS;Mexico
AERFI Group;;AGP;AIR TARA;Ireland
Aerial Oy;;ABF;SKYWINGS;Finland
Aerial Surveys (1980) Limited;;SUY;SURVEY;New Zealand
Aerial Transit Company;;AEZ;AERIAL TRANZ;United States
Aeriantur-M;;MBV;AEREM;Moldova
Aeris Gestion;;RIS;AERIS;Spain
Aerlineas Centauro;;CTR;CENTAURO;Mexico
Aerlineas Del Oeste;;AST;AEROESTE;Mexico
Aerloineas de Techuacan;;HUC;LINEAS TEHUACAN;Mexico
Aermarche;;MMC;AERMARCHE;Italy
Aero 1 Pro-Jet;;SSM;RAPID;Canada
Aero Africa;;RFC;AERO AFRICA;Swaziland
Aero Air;;WIL;WILLIAMETTE;United States
Aero Airline;;ILK;ILEK;Kazakhstan
Aero Airlines;EE;EAY;REVAL;Estonia
Aero Albatros;;ALB;ALBATROS;Mexico
Aero Albatros;;ABM;ALBATROS ESPANA;Spain
Aero Algarve;;DSK;SKYBANNER;Portugal
Aero Asia International;E4;RSO;AERO ASIA;Pakistan
Aero Aviation Centre Ltd.;;AAD;SUNRISE;Canada
Aero Banobras;;BNB;AEROBANOBRAS;Mexico
Aero Barloz;;BLZ;AEROLOZ;Mexico
Aero Benin;EM;AEB;AEROBEN;Benin
Aero BG;;BGG;AERO BG;Mexico
Aero Biniza;;BZS;BINIZA;Mexico
Aero Brazil;BZ;BZL;;Brazil
Aero Business Charter;;GBJ;GLOBAL JET;Germany
Aero Cabo;;CBV;CABOAEREO;Mexico
Aero Calafia;;CFV;CALAFIA;Mexico
Aero California;JR;SER;AEROCALIFORNIA;Mexico
